datetime,temp,precip
2016-01-01,15.9,0
2016-01-02,17.6,0
2016-01-03,18.1,0
2016-01-04,13.5,1
2016-01-05,13.8,0.2
2016-01-06,14.7,1
2016-01-07,14.3,0
2016-01-08,13.2,0
2016-01-09,14.6,0
2016-01-10,14.3,0
2016-01-11,13.6,0.4
2016-01-12,12.3,2
2016-01-13,10.1,10.051
2016-01-14,12.6,3
2016-01-15,13.9,0
2016-01-16,12.8,0
2016-01-17,13.8,0
2016-01-18,12.1,0
2016-01-19,12.1,0
2016-01-20,13.9,0
2016-01-21,14.7,0
2016-01-22,14.1,0
2016-01-23,13.2,0
2016-01-24,12.3,0
2016-01-25,13.8,0
2016-01-26,14.9,0
2016-01-27,14.3,0
2016-01-28,10.3,0
2016-01-29,11.5,0
2016-01-30,13.8,0
2016-01-31,16.2,0
2016-02-01,16.4,0
2016-02-02,18.3,0
2016-02-03,18,0
2016-02-04,15.2,0
2016-02-05,14.9,0
2016-02-06,14.9,0
2016-02-07,13.2,0
2016-02-08,14.2,0
2016-02-09,11.6,0
2016-02-10,12.3,0
2016-02-11,12.7,0
2016-02-12,13.9,0
2016-02-13,12.1,0
2016-02-14,14.4,0
2016-02-15,16.9,0
2016-02-16,17,0
2016-02-17,15.6,0
2016-02-18,15.8,0
2016-02-19,17.1,0
2016-02-20,16.5,0
2016-02-21,17.8,0
2016-02-22,18.2,0
2016-02-23,19.5,0
2016-02-24,17.8,0
2016-02-25,17.2,0
2016-02-26,17.2,0.2
2016-02-27,15.4,3.034
2016-02-28,17.1,1.638
2016-02-29,16.7,0.3
2016-03-01,16,2.5
2016-03-02,13,1.2
2016-03-03,15.7,1.1
2016-03-04,14.3,0.3
2016-03-05,15.6,0
2016-03-06,17.2,0
2016-03-07,18.2,0
2016-03-08,16.4,0.101
2016-03-09,13.2,10.9
2016-03-10,12.3,0.5
2016-03-11,12.4,0
2016-03-12,15,0
2016-03-13,17.6,0
2016-03-14,18.2,0
2016-03-15,19.7,0
2016-03-16,19.5,0
2016-03-17,18.5,0
2016-03-18,18.3,0
2016-03-19,18.3,0
2016-03-20,16,0
2016-03-21,14.8,0
2016-03-22,16.9,0
2016-03-23,18.4,0
2016-03-24,19.9,0
2016-03-25,19.1,0
2016-03-26,19.8,0
2016-03-27,21.5,0
2016-03-28,21.5,0
2016-03-29,20.6,0
2016-03-30,20.9,0
2016-03-31,21.2,0
2016-04-01,21.3,0
2016-04-02,21,0
2016-04-03,19.2,0
2016-04-04,19.9,0
2016-04-05,21.3,0
2016-04-06,21.1,0
2016-04-07,21.7,0
2016-04-08,20.7,0
2016-04-09,20.2,0
2016-04-10,20.4,0
2016-04-11,22,0
2016-04-12,21.6,0
2016-04-13,22.4,0
2016-04-14,21.4,0
2016-04-15,21.1,0
2016-04-16,22,0
2016-04-17,22.1,0
2016-04-18,20.7,0.5
2016-04-19,18.4,4.6
2016-04-20,16.7,5.798
2016-04-21,17.4,5.9
2016-04-22,15.6,0.9
2016-04-23,17.2,0.4
2016-04-24,19.5,0
2016-04-25,18.9,0
2016-04-26,20.1,0
2016-04-27,20.8,0
2016-04-28,21.6,0
2016-04-29,21.8,0
2016-04-30,21.3,0
2016-05-01,21.8,0
2016-05-02,23.5,0
2016-05-03,21.5,0
2016-05-04,22.2,0.2
2016-05-05,21.8,1.3
2016-05-06,22.2,0.003
2016-05-07,21.8,21.2
2016-05-08,22.1,7.5
2016-05-09,21.4,0.9
2016-05-10,21.1,0.5
2016-05-11,21,2.501
2016-05-12,19,3.07
2016-05-13,19.7,0.7
2016-05-14,19.3,0
2016-05-15,17.7,1.3
2016-05-16,20.5,1
2016-05-17,20.7,0.5
2016-05-18,20.4,0.2
2016-05-19,22.1,0
2016-05-20,22.3,0
2016-05-21,21.8,3.198
2016-05-22,21.7,5.003
2016-05-23,21.9,6
2016-05-24,21.7,1
2016-05-25,22.7,6.056
2016-05-26,20.4,9.9
2016-05-27,19.9,0.1
2016-05-28,19.6,0.123
2016-05-29,19.8,3.707
2016-05-30,20.9,4
2016-05-31,19.9,3.5
2016-06-01,19,3.854
2016-06-02,18.3,17.518
2016-06-03,18.6,2.563
2016-06-04,18.8,0.5
2016-06-05,17.6,16.8
2016-06-06,17.3,8
2016-06-07,18.2,2.8
2016-06-08,18.5,1.018
2016-06-09,18.8,1.1
2016-06-10,19.3,2.102
2016-06-11,18.2,11.5
2016-06-12,18.8,6.501
2016-06-13,18.5,7.138
2016-06-14,19.1,23
2016-06-15,19.8,6.062
2016-06-16,20.1,0.8
2016-06-17,19.2,9
2016-06-18,18.8,0.7
2016-06-19,17.9,1
2016-06-20,18.5,3.3
2016-06-21,17.1,3
2016-06-22,18.1,4.015
2016-06-23,17.5,6
2016-06-24,18,0.111
2016-06-25,19.2,20.1
2016-06-26,18,10.8
2016-06-27,18.6,5.1
2016-06-28,18.5,5.1
2016-06-29,18.2,0.7
2016-06-30,17.2,23.4
2016-07-01,17,41.446
2016-07-02,18.6,4
2016-07-03,18.9,11.187
2016-07-04,18.3,0.7
