ageb_id,year,ageb_cvs,lagged_ageb_cvs,lagged2_ageb_cvs
2631,2016,0,0,0
2631,2017,0,0,1
2631,2018,0,0,1
2631,2019,0,0,1
2631,2020,0,0,1
2632,2016,0,0,0
2632,2017,0,0,0
2632,2018,0,0,0
2632,2019,0,0,0
2632,2020,0,0,0
2633,2016,0,1,1
2633,2017,0,1,1
2633,2018,0,1,1
2633,2019,0,1,1
2633,2020,0,1,1
2634,2016,0,0,1
2634,2017,0,0,1
2634,2018,0,1,2
2634,2019,0,1,5
2634,2020,0,1,6
2635,2016,0,0,0
2635,2017,0,0,0
2635,2018,0,0,1
2635,2019,0,0,1
2635,2020,0,0,1
2636,2016,0,1,1
2636,2017,0,1,1
2636,2018,0,1,2
2636,2019,0,1,2
2636,2020,0,1,2
2637,2016,0,1,1
2637,2017,0,1,1
2637,2018,0,1,2
2637,2019,0,1,2
2637,2020,0,1,2
2638,2016,0,0,1
2638,2017,0,0,1
2638,2018,0,0,1
2638,2019,0,0,1
2638,2020,0,0,1
2639,2016,0,0,0
2639,2017,0,0,0
2639,2018,0,0,1
2639,2019,0,0,1
2639,2020,0,0,1
2640,2016,0,1,2
2640,2017,0,1,2
2640,2018,0,1,2
2640,2019,0,3,7
2640,2020,2,6,11
2641,2016,0,0,0
2641,2017,0,0,0
2641,2018,0,1,1
2641,2019,1,6,8
2641,2020,2,7,10
2642,2016,0,0,0
2642,2017,0,0,0
2642,2018,0,0,1
2642,2019,0,0,1
2642,2020,0,0,1
2643,2016,0,0,0
2643,2017,0,0,0
2643,2018,1,1,1
2643,2019,1,4,6
2643,2020,1,5,8
2644,2016,1,1,1
2644,2017,1,1,1
2644,2018,1,1,1
2644,2019,1,1,1
2644,2020,1,1,1
2645,2016,0,1,1
2645,2017,0,1,1
2645,2018,0,1,1
2645,2019,0,1,1
2645,2020,0,1,1
2646,2016,1,1,1
2646,2017,1,1,1
2646,2018,1,1,1
2646,2019,1,1,1
2646,2020,1,1,1
2647,2016,0,1,1
2647,2017,0,1,1
2647,2018,0,1,1
2647,2019,0,1,1
2647,2020,0,1,1
2648,2016,1,1,1
2648,2017,1,1,1
2648,2018,1,1,1
2648,2019,1,1,1
2648,2020,1,1,1
2649,2016,0,1,1
2649,2017,0,1,1
2649,2018,0,1,1
2649,2019,0,1,1
2649,2020,0,1,1
2650,2016,0,0,0
2650,2017,0,0,0
2650,2018,0,0,1
2650,2019,0,0,1
2650,2020,0,0,1
2651,2016,0,0,1
2651,2017,0,0,1
2651,2018,0,0,1
2651,2019,0,0,1
2651,2020,0,0,1
2652,2016,1,2,2
2652,2017,1,2,2
2652,2018,1,2,2
2652,2019,1,2,7
2652,2020,1,5,11
2653,2016,0,0,1
2653,2017,0,0,1
2653,2018,0,0,1
2653,2019,0,0,2
2653,2020,2,2,4
2654,2016,1,1,1
2654,2017,1,1,1
2654,2018,1,1,1
2654,2019,1,2,2
2654,2020,1,3,4
2655,2016,0,1,1
2655,2017,0,1,1
2655,2018,0,1,1
2655,2019,0,1,2
2655,2020,0,1,4
2656,2016,0,0,0
2656,2017,0,0,0
2656,2018,0,0,0
2656,2019,0,0,0
2656,2020,1,2,2
2657,2016,0,0,0
2657,2017,0,0,0
2657,2018,0,0,0
2657,2019,0,0,0
2657,2020,0,0,1
2658,2016,0,0,0
2658,2017,0,0,0
2658,2018,0,0,0
2658,2019,0,0,0
2658,2020,0,0,0
2659,2016,0,0,0
2659,2017,0,0,0
2659,2018,0,0,0
2659,2019,0,0,0
2659,2020,0,0,0
2660,2016,0,0,0
2660,2017,0,0,0
